Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization
19	Spectrogram 1	1	19.292300000	19.650781450	1383.365	1970.247	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	19.2923	Focal	Ramphastos sulfuratus	3
20	Spectrogram 1	1	19.909700000	20.213639536	1339.195	2221.768	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	19.9097	Focal	Ramphastos sulfuratus	3
21	Spectrogram 1	1	20.597600000	20.879837436	1308.051	2221.768	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	20.5976	Focal	Ramphastos sulfuratus	3
22	Spectrogram 1	1	21.126800000	21.497236634	1370.339	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	21.1268	Focal	Ramphastos sulfuratus	3
23	Spectrogram 1	1	21.814800000	22.065822707	1401.483	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	21.8148	Focal	Ramphastos sulfuratus	3
24	Spectrogram 1	1	24.090300000	24.443096794	1215.684	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	24.0903	Focal	Ramphastos sulfuratus	3
25	Spectrogram 1	1	24.707700000	25.007577276	1214.619	2012.167	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	24.7077	Focal	Ramphastos sulfuratus	3
26	Spectrogram 1	1	25.325100000	25.695536634	1341.445	2012.167	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	25.3251	Focal	Ramphastos sulfuratus	3
27	Spectrogram 1	1	25.977800000	26.277677276	1339.195	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	25.9778	Focal	Ramphastos sulfuratus	3
28	Spectrogram 1	1	26.507000000	26.859796794	1152.331	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	26.5070	Focal	Ramphastos sulfuratus	3
29	Spectrogram 1	1	27.212500000	27.653495993	1308.051	2137.928	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	27.2125	Focal	Ramphastos sulfuratus	3
30	Spectrogram 1	1	27.812300000	28.270935833	1339.195	1886.407	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	27.8123	Focal	Ramphastos sulfuratus	3
31	Spectrogram 1	1	28.537611782	28.788633743	1142.088	1960.004	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	28.5376	Focal	Ramphastos sulfuratus	3
32	Spectrogram 1	1	29.100000000	29.452796794	1276.907	2054.087	INVEST_0094.wav	C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav	29.1000	Focal	Ramphastos sulfuratus	3
