"selec","View","Channel","start","end","bottom.freq","top.freq","sound.files","Begin Path","File Offset (s)","Recording","Model species","Vocalization","selec.file","Song","source","species.vocalization"
3,"Spectrogram 1",1,4.7813,5.155952986,3.982414,5.53346,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",4.7813,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
4,"Spectrogram 1",1,5.5128,5.798249894,4.233935,5.701141,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",5.5128,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
5,"Spectrogram 1",1,7.6536,7.939049894,3.940494,6.623384,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",7.6536,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
6,"Spectrogram 1",1,8.3673,8.652749894,3.898574,5.57538,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",8.3673,"Focal","Pteroglossus torquatus","Pteroglossus torquatus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.torquatus"
7,"Spectrogram 1",1,9.207996335,10.169112157,2.054087,7.210266,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",9.208,"Focal","Psarocolius montezuma","Psarocolius montezuma","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-P.montezuma"
8,"Spectrogram 1",1,12.7064,13.009690512,1.383365,2.305608,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",12.7064,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
9,"Spectrogram 1",1,13.33571883,13.600316425,1.341445,2.389449,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",13.3357,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
10,"Spectrogram 1",1,13.8839,14.22287175,1.215684,1.970247,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",13.8839,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
11,"Spectrogram 1",1,14.4013,14.704590512,1.184504,2.179848,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",14.4013,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
12,"Spectrogram 1",1,15.0079,15.400393604,1.063017,2.096008,"INVEST_0094.wav","C:\Users\Pablo\Documents\Proyect Campana Mimicry\Proyecto Pájaro Campana 29-9-2020\Archivos Campana Bosque Alegre\18-04-2020\Audios\INVEST_0094.wav",15.0079,"Focal","Ramphastos sulfuratus","Ramphastos sulfuratus","INVEST_0094.Table.1.selections.txt",NA,"mimetic_bellbird","mimetic_P.tricarunculatus-R.sulfuratus"
