path,filename,X1,fold,target,category,pred
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_30.wav,INVEST_0094.wav_30.wav,52,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_31.wav,INVEST_0094.wav_31.wav,53,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0094.wav_32.wav,INVEST_0094.wav_32.wav,54,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0107.wav_1.wav,INVEST_0107.wav_1.wav,55,mimetic,2,P.torquatus,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0107.wav_2.wav,INVEST_0107.wav_2.wav,56,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0107.wav_3.wav,INVEST_0107.wav_3.wav,57,mimetic,1,P.montezuma,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_1.wav,INVEST_0115.wav_1.wav,58,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_2.wav,INVEST_0115.wav_2.wav,59,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_3.wav,INVEST_0115.wav_3.wav,60,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_4.wav,INVEST_0115.wav_4.wav,61,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_5.wav,INVEST_0115.wav_5.wav,62,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_6.wav,INVEST_0115.wav_6.wav,63,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_7.wav,INVEST_0115.wav_7.wav,64,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_8.wav,INVEST_0115.wav_8.wav,65,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_9.wav,INVEST_0115.wav_9.wav,66,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_10.wav,INVEST_0115.wav_10.wav,67,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_11.wav,INVEST_0115.wav_11.wav,68,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_12.wav,INVEST_0115.wav_12.wav,69,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_13.wav,INVEST_0115.wav_13.wav,70,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/INVEST_0115.wav_14.wav,INVEST_0115.wav_14.wav,71,mimetic,7,R.sulfuratus,R.sulfuratus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200803-151027.wav_3.wav,20200803-151027.wav_3.wav,126,mimetic,6,P.tricarunculatus-Talamanca,P.torquatus
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062744.wav_1.wav,20200805-062744.wav_1.wav,162,mimetic,2,P.torquatus,P.tricarunculatus-Nicaragua
/home/m/Dropbox/Projects/vggish_test/bellbird_data/audio/20200805-062744.wav_2.wav,20200805-062744.wav_2.wav,163,mimetic,2,P.torquatus,R.sulfuratus
