Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Recording	Model species	Vocalization
17	Spectrogram 1	1	20.266489323	20.586941771	1264.9	2237.8	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	20.2665	Focal	Ramphastos sulfuratus	16
18	Spectrogram 1	1	20.880689849	21.067620444	1232.4	1913.5	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	20.8807	Focal	Ramphastos sulfuratus	17
19	Spectrogram 1	1	21.708525340	21.886554478	1491.9	2270.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	21.7085	Focal	Ramphastos sulfuratus	18
20	Spectrogram 1	1	22.358331694	22.589769573	1589.2	2497.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	22.3583	Focal	Ramphastos sulfuratus	19
21	Spectrogram 1	1	22.990335134	23.284083211	1297.3	2400.0	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	22.9903	Focal	Ramphastos sulfuratus	20
22	Spectrogram 1	1	23.720254599	23.987298306	1524.3	2497.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	23.7203	Focal	Ramphastos sulfuratus	21
23	Spectrogram 1	1	24.361159496	24.592597375	1621.6	2400.0	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	24.3612	Focal	Ramphastos sulfuratus	22
24	Spectrogram 1	1	25.589560548	25.927815910	1394.6	2302.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	25.5896	Focal	Ramphastos sulfuratus	23
25	Spectrogram 1	1	26.228227587	26.504172751	1329.7	2010.8	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	26.2282	Focal	Ramphastos sulfuratus	24
26	Spectrogram 1	1	26.886935398	27.251895131	1427.0	2043.2	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	26.8869	Focal	Ramphastos sulfuratus	25
27	Spectrogram 1	1	27.563446122	27.785982544	1427.0	2270.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	27.5634	Focal	Ramphastos sulfuratus	26
28	Spectrogram 1	1	28.311168501	28.498099096	1459.5	2205.4	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	28.3112	Focal	Ramphastos sulfuratus	27
29	Spectrogram 1	1	29.041087967	29.183511277	1394.6	2302.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	29.0411	Focal	Ramphastos sulfuratus	28
30	Spectrogram 1	1	29.673091407	29.984642398	1524.3	2497.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	29.6731	Focal	Ramphastos sulfuratus	29
31	Spectrogram 1	1	30.269489019	30.545434183	1427.0	2205.4	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	30.2695	Focal	Ramphastos sulfuratus	30
32	Spectrogram 1	1	31.177437622	31.453382786	1556.8	2464.9	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	31.1774	Focal	Ramphastos sulfuratus	31
33	Spectrogram 1	1	32.940318819	33.127249413	1621.6	2302.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	32.9403	Focal	Ramphastos sulfuratus	32
34	Spectrogram 1	1	33.572322258	33.714745569	1686.5	2270.3	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	33.5723	Focal	Ramphastos sulfuratus	33
35	Spectrogram 1	1	34.222128612	34.471369405	1427.0	2594.6	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	34.2221	Focal	Ramphastos sulfuratus	34
36	Spectrogram 1	1	34.880836422	35.067767017	1556.8	2464.9	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	34.8808	Focal	Ramphastos sulfuratus	35
37	Spectrogram 1	1	35.521741319	35.753179198	1524.3	2335.1	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	35.5217	Focal	Ramphastos sulfuratus	36
38	Spectrogram 1	1	36.670029259	36.848058396	1556.8	2075.7	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	36.6700	Focal	Ramphastos sulfuratus	37
39	Spectrogram 1	1	37.337638526	37.533470578	1329.7	2140.5	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	37.3376	Focal	Ramphastos sulfuratus	38
40	Spectrogram 1	1	38.058656535	38.236685672	1427.0	2400.0	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	38.0587	Focal	Ramphastos sulfuratus	39
41	Spectrogram 1	1	38.788576000	38.948802224	1491.9	2205.4	Campan_0033_PT_PTT_RS.wav	C:\Users\Pablo\Desktop\Modelo de sp\Mimicry\Campan_0033_PT_PTT_RS.wav	38.7886	Focal	Ramphastos sulfuratus	40
